Analyte ID	Analyte Name	State Code	PWSID	System Name	System Type	Retail Population Served	Adjusted Total Population Served	Source Water Type	Water Facility ID	Water Facility Type	Sampling Point ID	Sampling Point Type	Source Type Code	Sample Type Code	Laboratory Assigned ID	Six Year ID	Sample ID	Sample Collection Date	Detection Limit Value	Detection Limit Unit	Detection Limit Code	Detect	Value	Unit	Presence Indicator Code	Residual Field Free Chlorine mg/L	Residual Field Total Chlorine mg/L
1094	ASBESTOS	CA	CA4910020	SONOMA COUNTY WATER AGENCY	C	500	500	GW	588131	WL	657820		RW			36132963		2008-09-23 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA4910020	SONOMA COUNTY WATER AGENCY	C	500	500	GW	588136	WL	657825		RW			36127147		2009-09-01 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA4910020	SONOMA COUNTY WATER AGENCY	C	500	500	GW	588136	WL	657825		RW			36117437		2006-08-31 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA4910021	BODEGA BAY PUBLIC UTILITY DISTRICT	C	1423	1423	GW	588182	WL	657871		RW			31021204		2008-04-04 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA4910026	ODD FELLOWS RECREATION CLUB	C	80	80	GW	588211	WL	657900		RW			30608038		2006-03-09 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA4910202	SONOMA DEVELOPMENTAL CENTER	C	3000	3000	SW	588235	RS	657924		RW			36951604		2011-06-14 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5010010	MODESTO, CITY OF	C	212000	212000	GW	588801	WL	658490		RW			30839706		2010-09-30 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5010010	MODESTO, CITY OF	C	212000	212000	GW	588803	WL	658492		RW			29859738		2010-09-09 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5010028	CERES, CITY OF	C	42666	42666	GW	588983	WL	658672		RW			29457048		2007-02-05 00:00:00.000	0.200000000	MFL	MDL	0					
1094	ASBESTOS	CA	CA5110003	YUBA CITY GROUNDWATER-REGION 2-3	C	10200	10200	GW	589236	WL	658925		RW			36592070		2006-05-23 00:00:00.000	0.200000000	MFL	MDL	0					
